sku,vol,mean,std,cv,cum_vol,abc,xyz,segment
6950576,37280.0,266.2857,309.52228,1.1623691,0.017763495,A,X,AX
6276311,21206.0,151.47144,221.71806,1.4637616,0.027867913,A,X,AX
6090522,15399.0,109.99286,148.20055,1.3473651,0.03520536,A,X,AX
7103077,15154.0,108.24286,95.99384,0.88683766,0.042426072,A,X,AX
7477364,11758.0,83.98572,114.633415,1.3649156,0.04802862,A,X,AX
6878298,9226.0,65.9,68.47983,1.0391476,0.052424707,A,X,AX
6396952,7867.0,56.192856,81.08321,1.4429452,0.056173243,A,X,AX
6642660,7665.0,54.75,67.650085,1.235618,0.05982553,A,X,AX
7103051,7030.0,50.214287,53.260967,1.0606736,0.063175246,A,X,AX
7394296,6951.0,49.65,37.715313,0.7596236,0.06648732,A,X,AX
5000174003451,6763.0,48.307144,41.737602,0.86400473,0.06970981,A,X,AX
6457705,6454.0,46.1,60.41455,1.3105109,0.072785065,A,X,AX
6090530,6376.0,45.54286,58.21671,1.2782841,0.07582316,A,X,AX
7376400,6239.0,44.564285,65.86876,1.4780616,0.07879597,A,X,AX
6090514,5894.0,42.1,47.035774,1.1172394,0.08160439,A,X,AX
7252908,5876.0,41.971428,111.83035,2.66444,0.084404245,A,X,AX
6090548,5761.0,41.15,49.977108,1.2145104,0.08714929,A,X,AX
7393587,5617.0,40.12143,36.19024,0.9020177,0.08982573,A,X,AX
6595777,5422.0,38.728573,46.03656,1.1886976,0.09240925,A,X,AX
6482067,5387.0,38.478573,36.31922,0.9438817,0.0949761,A,X,AX
7259986,5380.0,38.42857,39.9318,1.0391176,0.0975396,A,X,AX
6084962,5345.0,38.17857,52.94293,1.3867185,0.100086436,A,X,AX
6282525,5308.0,37.914288,76.781715,2.0251393,0.10261564,A,X,AX
6291286,4865.0,34.75,40.861607,1.1758735,0.10493375,A,X,AX
6642678,4834.0,34.528572,54.523766,1.5790912,0.1072371,A,X,AX
6404418,4596.0,32.82857,25.037796,0.7626831,0.10942704,A,X,AX
6917351,4596.0,32.82857,42.02499,1.2801346,0.111616984,A,X,AX
7351197,4585.0,32.75,33.817352,1.0325909,0.11380168,A,X,AX
7080671,4524.0,32.314285,38.726505,1.198433,0.11595732,A,X,AX
6395558,4440.0,31.714285,35.04556,1.1050402,0.11807293,A,X,AX
6352195,4311.0,30.792856,39.016228,1.2670546,0.12012707,A,X,AX
6944264,4165.0,29.75,32.123665,1.079787,0.12211165,A,X,AX
6050765,4157.0,29.692858,67.4445,2.271405,0.12409241,A,X,AX
6240184,4155.0,29.678572,25.482471,0.85861516,0.12607221,A,X,AX
6210195,4104.0,29.314285,58.834736,2.0070329,0.12802772,A,X,AX
AltruistSPF30200SINGLE,4073.0,29.092857,112.25753,3.8585942,0.12996846,A,Y,AY
6284711,3929.0,28.064285,31.898943,1.1366384,0.13184059,A,X,AX
6388652,3816.0,27.257143,24.290617,0.8911652,0.13365887,A,X,AX
7314799,3797.0,27.12143,36.14668,1.3327719,0.1354681,A,X,AX
6050823,3679.0,26.278572,41.667244,1.5855978,0.1372211,A,X,AX
4250947516027,3639.0,25.992857,37.439926,1.4403929,0.13895504,A,X,AX
7252924,3638.0,25.985714,40.195026,1.5468124,0.14068851,A,X,AX
6060434,3607.0,25.764286,27.707779,1.0754336,0.14240721,A,X,AX
6642330,3582.0,25.585714,25.06423,0.97961813,0.14411399,A,X,AX
6031864,3351.0,23.935715,35.702045,1.4915805,0.14571069,A,X,AX
6240192,3287.0,23.47857,18.675753,0.79543823,0.14727691,A,X,AX
6396945,3276.0,23.4,26.262867,1.1223447,0.1488379,A,X,AX
